Actual,Prediction
0.0,6.036055
0.0,6.036055
0.0,6.4147987
0.0,6.611848
0.0,6.683496
0.0,6.7724853
0.0,6.2515306
0.0,5.899491
11.0,5.7256765
0.0,8.010191
0.0,6.359557
0.0,6.1450343
0.0,6.409849
0.0,5.8806477
0.0,8.060548
0.0,5.9367385
0.0,5.8837376
0.0,5.893284
0.0,6.1450343
3.0,6.5168724
0.0,6.3000054
0.0,6.553372
0.0,5.8616276
15.0,10.13636
1.0,10.218666
0.0,8.103452
0.0,9.086871
0.0,6.5465302
0.0,8.952309
0.0,6.5591664
0.0,6.5347295
0.0,6.1722355
0.0,5.8439074
0.0,7.556544
0.0,6.115556
0.0,5.893284
0.0,6.915448
0.0,5.895556
0.0,6.5465302
0.0,6.0612793
0.0,6.523473
0.0,5.7383127
0.0,7.538691
0.0,8.326649
0.0,7.4677835
3.0,7.226182
0.0,7.8213506
0.0,6.0978627
0.0,5.907849
0.0,6.5465302
0.0,5.903273
0.0,5.8273516
0.0,8.32263
0.0,8.749479
0.0,7.101868
0.0,5.811746
0.0,5.814069
0.0,6.030573
0.0,6.5289755
0.0,5.895556
0.0,7.847616
0.0,5.765514
0.0,5.7451453
0.0,5.8565435
0.0,5.7648754
0.0,7.7084117
0.0,7.7397723
0.0,6.0873213
0.0,6.475079
0.0,5.875729
0.0,5.8210974
0.0,6.643125
2.0,5.708122
0.0,6.352588
0.0,6.1004353
0.0,5.863093
0.0,5.920485
0.0,5.8380136
0.0,5.770598
0.0,6.2165403
0.0,6.144354
0.0,5.708122
0.0,5.735499
0.0,5.863093
2.0,9.472499
0.0,10.249195
10.0,9.159048
0.0,6.265117
0.0,6.7389345
10.0,6.1544514
1.0,5.753043
3.0,8.113956
0.0,5.9548893
0.0,8.233154
0.0,7.5872884
1.0,6.650312
12.0,5.9313545
0.0,9.920353
0.0,6.651059
1.0,8.386612
20.0,7.21942
30.0,12.071368
0.0,11.331108
0.0,6.4502873
20.0,8.269616
6.0,8.085971
30.0,12.19709
5.0,8.963985
37.0,10.7596035
28.0,11.442578
2.0,6.581575
27.0,7.8729544
0.0,6.4531064
19.0,9.907023
50.0,11.14113
1.0,11.170872
0.0,8.701665
55.0,11.536643
22.0,11.431328
50.0,9.727427
1.0,6.9995337
2.0,7.6925855
0.0,6.326067
0.0,8.380991
0.0,5.853895
0.0,5.808974
0.0,9.290031
0.0,5.8263526
0.0,5.966288
